,id,token0,token1,dailyTxns,dailySwapVolumeToken0,dailySwapVolumeToken1,tvlUSD,mintsCount,burnsCount,swapsCount,token0To1Txs,token0To1VolumeUSD,token1To0Txs,token1To0VolumeUSD,GrossVolumeUSD
10,0xc2e9f25be6257c210d7adf0d4cd6e3e881ba25f8,DAI,WETH,228,6985771.71319016920536891,5512.348846733922734297,49483350.11842075474727490938031991,11.0,10.0,207.0,89.0,4529130.184262492,118.0,2455534.143996161,6984664.328258652
11,0x99ac8ca7087fa4a2a1fb6357269965a2014abc35,WBTC,USDC,190,327.29287753,5522877.361676,53201687.17790081920732367892740953,17.0,38.0,135.0,59.0,1835450.072483694,76.0,3691431.069597484,5526881.142081178
12,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,WBTC,USDC,456,798.02141678,13678280.790468,2269496.516981961728795227246400544,10.0,10.0,436.0,211.0,6603829.047512145,225.0,6994362.640173683,13598191.687685829
13,0x5e35c4eba72470ee1177dcb14dddf4d9e6d915f4,BUSD,USDC,239,6483486.800532364711390444,6482635.145918,11784953.81515639423292336913644199,2.0,7.0,230.0,146.0,3569612.153095001,84.0,2913022.992822999,6482635.1459180005
14,0x7858e59e0c01ea06df3af3d20ac7b0003275d4bf,USDC,USDT,124,3214903.772356,3215582.381377,16481588.764924,1.0,1.0,122.0,71.0,1760702.4406125066,51.0,1454534.300341487,3215236.7409539935
15,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,UNI,WETH,2862,1683462.385527163252059585,7628.429701771760261953,37309935.98438741081043723431831097,39.0,50.0,2773.0,193.0,4519009.861542183,2580.0,5119882.071999133,9638891.933541317
16,0x290a6a7460b308ee3f19023d2d00de604bcf5b42,MATIC,WETH,731,6899849.151165231548977045,4838.001470874940723085,12735874.50327662665904124093361631,29.0,39.0,663.0,212.0,2534414.4858758203,451.0,3670630.4418372014,6205044.927713022
17,0xac4b3dacb91461209ae9d41ec517c2b9cb1b7daf,APE,WETH,776,2835970.11703148837876677,9285.460347665939259713,14477096.21476869773685096485127826,61.0,64.0,651.0,305.0,6211030.1935521895,346.0,5543753.0645032525,11754783.258055441
18,0xa3f558aebaecaf0e11ca4b2199cc5ed341edfd74,LDO,WETH,212,2807928.099465830752981755,2513.800951180739854666,9484075.890848045484285713260800117,7.0,7.0,198.0,85.0,1769742.8632101547,113.0,1413612.241721262,3183355.104931417
19,0xe0554a476a092703abdb3ef35c80e0d76d32939f,USDC,WETH,1110,10786404.911687,8567.705108605790561325,827933.9201979650747333902488582437,6.0,3.0,1100.0,528.0,5475131.029199803,572.0,5359268.772295675,10834399.801495478
