,Date,USDC,WETH,DAI,WBTC,USDT,FRAX,PAX,agEUR,APE,1INCH,BUSD,FEI,HEX,RAI,LOOKS,renBTC,MKR,LINK,ETH2x-FLI,MATIC,TUSD,EURS,CRV,NEXO,FUN,ENS,LUNA,MIM,LUSD
1625875200,2021-07-10,26069633400.14585,14708567225.767017,5280511884.716804,6677486575.308356,62597287223.69701,230574009.9233875,922980545.0998607,,,448329084.2272519,10690740627.87134,367006184.60699403,0.0,25214758.93169297,,376966096.1523936,2450024568.1590157,8214360162.070957,43818135.23923141,6705615971.311256,1528349418.2699766,106592719.16798553,631930841.4584304,921199071.4876347,164525141.73685843,,,0.0,759550079.5283293
1625961600,2021-07-11,26168294198.93254,14466336537.38648,5252773085.620732,6639309525.925732,62625649753.64239,230890271.62249696,923027404.7561613,,,431830974.86777866,10728970935.05086,365530403.9179532,0.0,25928047.332039252,,375493750.8627465,2419381970.058708,8026402613.381654,42274929.92312864,6556892269.42062,1511227787.2288342,106813143.14671157,621951613.5146368,916771024.4188776,163245632.3902262,,,0.0,761197446.0150237
1626048000,2021-07-12,26145472545.0769,14747947188.495993,5292043801.502807,6759039485.049014,62447338867.627785,229861406.49989715,922824577.8878124,,,435996469.87047416,10738713991.357908,364165932.85079813,0.0,25644454.032069415,,384356544.96738935,2409361340.0555253,8039992738.622109,43297396.10829378,6612728321.1528635,1510173997.5757735,106452884.52275568,624032567.7310426,917921571.7132384,166002867.04056066,,,0.0,762817063.0027136
1626134400,2021-07-13,26442919220.393044,14141999460.724379,5268703048.612711,6528508604.711569,62544311505.039505,230999912.04990244,910897780.0434299,,,419496606.3252018,10492446303.903635,364745006.3368012,0.0,26155566.120058067,,373230933.2593614,2353534141.0006433,7718372717.076271,38712202.38792098,6318169069.553826,1505562978.8726945,105844652.26863585,596513938.3146671,879117311.8753011,161220589.47856364,,,0.0,766196040.7570587
1626220800,2021-07-14,26487629399.862064,13632590179.730547,5236051378.183458,6427756041.266583,62625079420.59769,230933466.17837337,889876642.7303627,,,399999319.3084224,10308481360.969215,359174123.2017612,0.0,25448488.18809434,,368086425.7062193,2275762351.6159062,7403536798.454784,35724456.80231012,5992742569.7026205,1525178947.5578494,106424823.5320138,568121316.5785505,861424403.009786,154486998.4532861,,,0.0,763680415.579856
1626307200,2021-07-15,26700071046.38543,14108215382.24307,5255190576.938519,6443491992.543296,62311226405.84341,230109264.6003006,891079479.9212527,,,401378874.2455929,10694324841.886408,354360768.2221157,0.0,25611300.379473332,,371462960.2006756,2264962306.760225,7425370139.047675,37998588.4042803,5872169180.732195,1533875415.5554025,106267618.25819263,554719302.8570887,889793507.053635,156522583.73654053,,,0.0,756179278.1649106
1626393600,2021-07-16,26383458214.494507,14264980410.507982,5252267709.785724,6222724007.979463,62399251245.14264,233398646.60962066,889689176.5134182,,,374442522.33039176,11247656788.106958,352340917.9618284,0.0,31629814.17978814,,367103360.0901763,2319132288.844452,6891481427.768239,35546025.12137679,5536398704.740059,1389290264.2614517,104873837.11786616,518623589.0168948,827924155.4282668,154221365.18389335,,,0.0,760214931.6196098
1626480000,2021-07-17,26357277619.747456,13954198290.994476,5247059208.477676,6150037024.255713,62114787443.555466,232151407.68201342,886763554.7772583,,,355027157.3512652,11135204189.783598,347685854.9180599,0.0,31493283.530819092,,365148264.49770844,2182406249.1589923,6692521336.291205,33759169.59291005,5137539233.372842,1333969973.1074836,104502622.30053356,494958545.9881327,806271017.556159,156877847.03621507,,,0.0,478474818.5248646
1626566400,2021-07-18,26623730448.01727,14144567087.973951,5260831397.411197,6190803893.84691,62276606129.46747,236901439.5593034,891410317.490848,,,363344856.3592715,11227672954.68307,345007042.27556413,0.0,31020238.195074275,,366159324.36977565,2190640315.651812,6776190629.101993,34596958.652393036,5087930068.468128,1337981009.1928465,104688833.68597542,499531610.2323923,825113401.0139948,153131675.42056903,,,0.0,480663591.7495073
1626652800,2021-07-19,26790894613.420063,14117860585.45613,5293158020.542592,6230001708.176393,62544907666.829704,237321942.2973741,894015609.2949113,,,368350747.98795843,11257324758.747814,342304290.3904276,0.0,31096919.265948724,,373046580.42102057,2235770897.2918797,6862469517.426304,34436430.284546725,5073809052.124302,1333559123.6325228,105164289.56759167,497968574.8817767,825488762.0662742,153863950.78022566,,,0.0,483070463.88238525
1626739200,2021-07-20,26751449955.994514,13405925029.414825,5228696177.125404,6049676903.749179,62305629667.531,238067020.19554755,896507058.0528624,,,327583490.99871665,11158011388.715124,339041082.11905247,0.0,30120780.480073567,,373518407.5286597,2090862851.666256,6470433681.491618,32815815.463628348,4711940257.047171,1335628922.6236057,104916648.84658809,476609195.89715195,807212625.4007087,146302886.1897289,,,0.0,475407976.5525281
1626825600,2021-07-21,26845829804.105263,13022724244.861055,5215277329.928177,5820526255.572438,62179886375.77305,242670943.14788675,901014519.6780775,,,310853630.23711747,11269844336.59042,336216620.8913529,0.0,25920568.249354746,,369394507.215518,1984161571.6537185,6098378527.310064,32637676.39615213,4430235135.429314,1266615014.1734557,104445125.99161497,452369053.5594432,724033710.4833552,141679239.83033046,,,0.0,449427281.728132
1626912000,2021-07-22,26993133328.154568,14065749246.804918,5246019482.368279,6249275703.22973,62271271235.8455,243595028.81754914,907635705.9768591,,,328253808.3445674,11389359652.969172,334811236.46249425,0.0,27188886.310071647,,391564539.1167924,2193178085.3626842,6710757534.488321,42088484.56313336,5654339691.734202,1267062644.7933004,104991385.55836898,506022490.2418992,787974224.7715261,149834423.2167126,,,0.0,445474755.49551225
1626998400,2021-07-23,27009192505.517094,14121292710.759941,5256955435.987858,6294727291.0953,62140538003.42053,243171133.8076345,907139762.9375064,,,372238003.36056715,11499339117.032133,334895991.84993607,0.0,27273364.68875711,,407068937.2822624,2203539321.832121,7071647316.914529,46565142.61329904,5679796018.974048,1275379862.3985887,104447492.59816146,542201380.3402393,824544033.6297898,153504631.04352987,,,0.0,446044715.88449633
1627084800,2021-07-24,27109004815.011272,14685217747.98995,5273803014.650695,6510671599.067282,62087552802.60452,243799508.71379983,910266218.3717191,,,379968262.2763017,11657239746.473413,333929538.7140176,0.0,28496100.298690546,,420321841.1358654,2256877211.8346806,7281439787.853895,48613819.50264116,6022904906.727086,1281158833.126811,104752448.7232138,559700117.3173859,844609558.9055573,154745230.13588753,,,0.0,449033032.50236005
1627171200,2021-07-25,27075645361.846138,15157078215.139591,5289285270.060658,6657995520.215762,62150298514.33958,243283736.8592276,909628806.1541587,,,368654682.54869944,11762165329.703041,335918995.6797557,0.0,28412828.230385084,,424519687.14793634,2319551422.5273304,7365430940.223749,51454708.7080158,6080910913.031988,1280043986.3079066,104799311.59161633,541588274.3114185,874407952.1159916,159935560.85935238,,,0.0,473227140.41810936
