,token0,token1,id,createdAtBlockNumber,createdAtTimestamp,feeTier
3363,"{'id': '0x37c997b35c619c21323f3518b9357914e8b99525', 'symbol': 'PILOT'}","{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}",0xfc9f572124d8f469960b94537b493f2676776c03,12865087,1626806321,3000
3364,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}","{'id': '0xcfa0885131f602d11d4da248d2c65a62063567a9', 'symbol': 'TORG'}",0x76d66961b84a520a859a2fb6075af220be6461e8,12865144,1626807280,3000
3365,"{'id': '0xdac17f958d2ee523a2206206994597c13d831ec7', 'symbol': 'USDT'}","{'id': '0xe4ab17630a87d7d0117aa24cf0cb48a32fc1d8ae', 'symbol': 'YEAR'}",0xa1a676f1a455770bfedf7c5fbcd7365395fc0d42,12865228,1626808440,500
3366,"{'id': '0x00000000441378008ea67f4284a57932b1c000a5', 'symbol': 'TGBP'}","{'id': '0x6b175474e89094c44da98b954eedeac495271d0f', 'symbol': 'DAI'}",0x03489f8e606a739e84a8608d0225ded451975fda,12865547,1626812919,3000
3367,"{'id': '0x44a1aabc8a005739c400a21b48e4c007484e1df1', 'symbol': 'TM'}","{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC'}",0xd32984fdbae809da0ec72aefd1a5aef531cdf588,12865814,1626816234,10000
3368,"{'id': '0x515d7e9d75e2b76db60f8a051cd890eba23286bc', 'symbol': 'GDAO'}","{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}",0xe0b3f1cfeb6c34cc6042108b219131eec6c47086,12865837,1626816523,3000
3369,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}","{'id': '0xf8e386eda857484f5a12e4b5daa9984e06e73705', 'symbol': 'IND'}",0xe7d4be62e909fa1dbdea53eee621d90b6b3770b8,12865920,1626817628,3000
3370,"{'id': '0x7c8155909cd385f120a56ef90728dd50f9ccbe52', 'symbol': 'NII'}","{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}",0x5aac14ca709846c709f746350ca1f739462027a3,12866208,1626821549,3000
3371,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}","{'id': '0xe1c4ec950ad1e5730765675b9f06a5942589a1c3', 'symbol': 'LittleDoge'}",0x410f72313075e4f54323fd6984bc12d1b69dc53c,12866838,1626830350,3000
3372,"{'id': '0x58297c659ebb6c2b2585dc8344ad62eeae9dd932', 'symbol': 'VST'}","{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}",0x3945ca0c5e269df88694ae116ee368ca4d1f4c3d,12866898,1626831153,500
3373,"{'id': '0x383518188c0c6d7730d91b2c03a03c837814a899', 'symbol': 'OHM'}","{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC'}",0x8406cb08a52afd2a97e958b8fad2103243b6af3e,12866924,1626831435,3000
3374,"{'id': '0x21d24c1f23414a401be60769cf8632e683e60282', 'symbol': 'SHIBCAT'}","{'id': '0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce', 'symbol': 'SHIB'}",0xe780d4a62e263f0c5f10a5828883804732509498,12867347,1626837085,10000
3375,"{'id': '0x57b946008913b82e4df85f501cbaed910e58d26c', 'symbol': 'POND'}","{'id': '0xdac17f958d2ee523a2206206994597c13d831ec7', 'symbol': 'USDT'}",0xc0711ee795e46169ecac53362e27cea2b7d3a13b,12868236,1626849354,10000
3376,"{'id': '0xbb0e17ef65f82ab018d8edd776e8dd940327b28b', 'symbol': 'AXS'}","{'id': '0xdac17f958d2ee523a2206206994597c13d831ec7', 'symbol': 'USDT'}",0xb090c05425f5dd7ecfb867bbec0c93dfcff5703b,12868798,1626857392,10000
3377,"{'id': '0xb4e0ba2cc38192927709099406c0100dbcd8906c', 'symbol': 'BLUECAT'}","{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}",0x72395c51b3e03fbce7e337e870ce25db408c756e,12868893,1626858635,10000
3378,"{'id': '0x68023f73727290b34f66abb795ec7730620d9a92', 'symbol': 'INRT'}","{'id': '0xdac17f958d2ee523a2206206994597c13d831ec7', 'symbol': 'USDT'}",0xfb9ef09c5724986d0a05eefa2332a1e592b984a2,12868964,1626859599,500
3379,"{'id': '0xb4272071ecadd69d933adcd19ca99fe80664fc08', 'symbol': 'XCHF'}","{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}",0x4858411a69af3351ed7d448a0d65c6146c11c218,12869294,1626863858,3000
3380,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}","{'id': '0xe1186783e53dc2bdb1a25d9b8372f3579733e522', 'symbol': 'COZE'}",0xbd657ae6ec3c4254d413015635a18c4c8dcdffdd,12869900,1626871913,3000
3381,"{'id': '0x993864e43caa7f7f12953ad6feb1d1ca635b875f', 'symbol': 'SDAO'}","{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}",0xfc3d0cd242aeb083156f359baf3f187f40ecbdc7,12869928,1626872272,3000
3382,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}","{'id': '0xdc28c25c345ec21c2af50d42a4fce6e8caeaa514', 'symbol': 'CLEANER'}",0x6eea2a1ba5d25e3887efc5135c918b6ea159fbf4,12870296,1626877365,10000
3383,"{'id': '0x85f6eb2bd5a062f5f8560be93fb7147e16c81472', 'symbol': 'FLy'}","{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}",0x6c8c4b301f89ef6d5ebcc0ca2bdc5106058e3601,12870319,1626877621,3000
3384,"{'id': '0x790340c6a7e724ebb0173de9bfe4b620431e846a', 'symbol': 'SPAY'}","{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}",0xb8fc199c231c8bb109be17684c3b3fdf560d7c69,12870534,1626880641,3000
3385,"{'id': '0xaffcdd96531bcd66faed95fc61e443d08f79efef', 'symbol': 'PMGT'}","{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}",0x577fbda4c09579c58c2139b088ef4daceded8feb,12870790,1626884043,3000
3386,"{'id': '0x9a176ef104141444eef326f4c8a066cda6df51c5', 'symbol': 'SMGCAT'}","{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}",0x74d6933d09c4429732458e24d6cf923adc12c8cf,12870936,1626886074,3000
3387,"{'id': '0x31fdd1c6607f47c14a2821f599211c67ac20fa96', 'symbol': 'BUY'}","{'id': '0xdac17f958d2ee523a2206206994597c13d831ec7', 'symbol': 'USDT'}",0x1dec83bcc6f98d4cac46159b97e1a19ce6aaffb8,12870948,1626886197,10000
3388,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}","{'id': '0xcb58418aa51ba525aef0fe474109c0354d844b7c', 'symbol': 'LAIKA'}",0x16811ea4c99b135e517d6fee60f76eebdd9f9a70,12872044,1626900878,3000
3389,"{'id': '0x8beb5611d2ffd7c947044c86632b5366a57ab516', 'symbol': 'RTX'}","{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH'}",0xec31112f53dd9f3aad520feb09d0362cb82f469c,12872369,1626905101,10000
3390,"{'id': '0x3b3d667f6510faa6b08f2eac26c46295ba0f3961', 'symbol': 'MHI'}","{'id': '0x6b175474e89094c44da98b954eedeac495271d0f', 'symbol': 'DAI'}",0xaa697413d8a2909f5b82eb31d42c42b698ed9c96,12872461,1626906333,3000
3391,"{'id': '0xbb0e17ef65f82ab018d8edd776e8dd940327b28b', 'symbol': 'AXS'}","{'id': '0xcc8fa225d80b9c7d42f96e9570156c65d6caaa25', 'symbol': 'SLP'}",0x59bf816bddee525bfb156a996af67e2d76a03e91,12872586,1626907962,3000
3392,"{'id': '0x383518188c0c6d7730d91b2c03a03c837814a899', 'symbol': 'OHM'}","{'id': '0x6b175474e89094c44da98b954eedeac495271d0f', 'symbol': 'DAI'}",0xb8127f3fbfe1d18299028d89523d7eb5db89f155,12873517,1626920637,10000
