,day,symbol,deposit,borrow
1001,2021-05-26T00:00:00+00:00,USDC,2990259150.8170986,2242244126.305248
1002,2021-05-25T00:00:00+00:00,USDC,2904960265.3229713,2177718114.9413567
1003,2021-05-24T00:00:00+00:00,USDC,2897088191.29155,2225641346.1580424
1004,2021-05-23T00:00:00+00:00,USDC,2860466982.043174,2207245119.4469075
1005,2021-05-22T00:00:00+00:00,USDC,3505681781.449769,2908633994.59558
1006,2021-05-21T00:00:00+00:00,USDC,3162331558.328261,2566420837.4215646
1007,2021-05-20T00:00:00+00:00,USDC,2819209879.0131855,2418065180.4183397
1008,2021-05-19T00:00:00+00:00,USDC,2703722049.384461,2411588106.121219
1009,2021-05-18T00:00:00+00:00,USDC,3148095928.5191836,2802945197.667418
1010,2021-05-17T00:00:00+00:00,USDC,3096832067.7774506,2750424943.504603
1011,2021-05-16T00:00:00+00:00,USDC,3059843629.703081,2765957518.9853015
1012,2021-05-15T00:00:00+00:00,USDC,3025039337.165101,2728330025.5765395
1013,2021-05-14T00:00:00+00:00,USDC,3003818815.8160753,2727296103.919789
1014,2021-05-13T00:00:00+00:00,USDC,2927035978.0448656,2644943227.5457883
1015,2021-05-12T00:00:00+00:00,USDC,2836770759.536123,2594266430.3690414
1016,2021-05-11T00:00:00+00:00,USDC,2823267113.4975286,2580889032.1046777
1017,2021-05-10T00:00:00+00:00,USDC,2825397699.9596424,2568547041.485307
1018,2021-05-09T00:00:00+00:00,USDC,2794097694.658002,2527308718.8072577
1019,2021-05-08T00:00:00+00:00,USDC,2853821015.759493,2604679856.3763785
1020,2021-05-07T00:00:00+00:00,USDC,2838179976.9448657,2591390782.415741
1021,2021-05-06T00:00:00+00:00,USDC,2885624378.507411,2649235358.149765
1022,2021-05-05T00:00:00+00:00,USDC,2793536720.82912,2534300184.806815
1023,2021-05-04T00:00:00+00:00,USDC,2556282905.4248233,2322849700.407921
1024,2021-05-03T00:00:00+00:00,USDC,2442909737.000134,2223349219.260905
1025,2021-05-02T00:00:00+00:00,USDC,2500625472.5461736,2250170192.884283
1026,2021-05-01T00:00:00+00:00,USDC,2516284846.6151657,2269107261.5048494
1027,2021-04-30T00:00:00+00:00,USDC,2479100478.2044,2243453968.6630497
1028,2021-04-29T00:00:00+00:00,USDC,2152408036.7257314,1952409145.0526352
1029,2021-04-28T00:00:00+00:00,USDC,1841258003.3876147,1664376059.4945207
1030,2021-04-27T00:00:00+00:00,USDC,1649350651.487409,1467251718.836418
1031,2021-04-26T00:00:00+00:00,USDC,1328133852.999799,1192229091.6822357
1032,2021-04-25T00:00:00+00:00,USDC,419014111.51626927,382937719.7927177
1033,2021-04-24T00:00:00+00:00,USDC,420012503.1597166,357601074.5248864
1034,2021-04-23T00:00:00+00:00,USDC,405400421.54377425,350887243.67677
1035,2021-04-22T00:00:00+00:00,USDC,410487262.78973323,369036841.45981866
1036,2021-04-21T00:00:00+00:00,USDC,405354615.584972,365640843.70882946
1037,2021-04-20T00:00:00+00:00,USDC,409511343.6120381,352533900.2690358
1038,2021-04-19T00:00:00+00:00,USDC,394062953.4163274,348707281.5079719
1039,2021-04-18T00:00:00+00:00,USDC,393302475.28918576,353489070.3331065
1040,2021-04-17T00:00:00+00:00,USDC,367351047.73046255,343528628.3191666
1041,2021-04-16T00:00:00+00:00,USDC,368732109.66872555,329788049.7249448
1042,2021-04-15T00:00:00+00:00,USDC,339963015.5721544,318145099.9191455
1043,2021-04-14T00:00:00+00:00,USDC,341896008.9823791,315956417.6384759
1044,2021-04-13T00:00:00+00:00,USDC,333922747.4155678,309045163.32331127
1045,2021-04-12T00:00:00+00:00,USDC,331443315.693795,305545088.4031295
1046,2021-04-11T00:00:00+00:00,USDC,327269414.2468243,302106417.04272693
1047,2021-04-10T00:00:00+00:00,USDC,324851850.0653759,303289717.3134697
1048,2021-04-09T00:00:00+00:00,USDC,331309344.33312976,303048471.09496427
1049,2021-04-08T00:00:00+00:00,USDC,339043881.87368447,310159102.2307856
1050,2021-04-07T00:00:00+00:00,USDC,348621834.4661294,316389838.1158219
1051,2021-04-06T00:00:00+00:00,USDC,346329986.4268278,317364300.75973225
1052,2021-04-05T00:00:00+00:00,USDC,339638677.7178332,310216475.9912289
1053,2021-04-04T00:00:00+00:00,USDC,337503029.9309835,312967944.1076707
1054,2021-04-03T00:00:00+00:00,USDC,329175962.6839835,313949622.1606764
1055,2021-04-02T00:00:00+00:00,USDC,354808077.782532,323554891.9654027
1056,2021-04-01T00:00:00+00:00,USDC,354117323.70143104,319566573.5782993
1057,2021-03-31T00:00:00+00:00,USDC,337365305.2446467,308552075.9083998
1058,2021-03-30T00:00:00+00:00,USDC,348331770.9847077,317284149.4701087
1059,2021-03-29T00:00:00+00:00,USDC,344987638.8001238,311487878.0247487
1060,2021-03-28T00:00:00+00:00,USDC,337901405.3728988,304445122.76224583
1061,2021-03-27T00:00:00+00:00,USDC,337206116.645185,307508753.17425495
1062,2021-03-26T00:00:00+00:00,USDC,356525563.49577814,300567364.2107398
1063,2021-03-25T00:00:00+00:00,USDC,337603313.42692244,288205271.60590637
1064,2021-03-24T00:00:00+00:00,USDC,313186885.5946017,282621613.4771766
1065,2021-03-23T00:00:00+00:00,USDC,320690062.5683393,281641259.598376
1066,2021-03-22T00:00:00+00:00,USDC,317940683.5107091,277874296.2580392
1067,2021-03-21T00:00:00+00:00,USDC,325462013.89865834,278774923.8023891
1068,2021-03-20T00:00:00+00:00,USDC,308194331.7023091,277928672.06880814
1069,2021-03-19T00:00:00+00:00,USDC,291081268.65165806,266174195.865474
1070,2021-03-18T00:00:00+00:00,USDC,287846535.85649794,264070946.7012222
1071,2021-03-17T00:00:00+00:00,USDC,277848054.6791408,262235418.9765893
1072,2021-03-16T00:00:00+00:00,USDC,285955238.927578,262609372.85984325
1073,2021-03-15T00:00:00+00:00,USDC,284187825.0934214,256386556.40180936
1074,2021-03-14T00:00:00+00:00,USDC,278135784.07310516,249619116.03021032
1075,2021-03-13T00:00:00+00:00,USDC,265334350.6537052,240313269.78010172
1076,2021-03-12T00:00:00+00:00,USDC,265772756.5152088,227945454.54523355
1077,2021-03-11T00:00:00+00:00,USDC,244713453.6498623,228554220.5215482
