,id,token0,token1,dailyTxns,dailySwapVolumeToken0,dailySwapVolumeToken1,tvlUSD,mintsCount,burnsCount,swapsCount,token0To1Txs,token0To1VolumeUSD,token1To0Txs,token1To0VolumeUSD,GrossVolumeUSD
24,0x92560c178ce069cc014138ed3c2f5221ba71f58a,WETH,ENS,138,644.910631472301827266,102287.541075892791622299,4546798.048728949952233371352943178,1.0,0.0,137.0,67.0,600740.9040664658,70.0,673120.6524335752,1273861.556500041
25,0x97e7d56a0408570ba1a7852de36350f7713906ec,DAI,FRAX,21,113494.515050978141122715,113538.738582653148664318,35697804.53380717348132431221496796,0.0,7.0,14.0,7.0,70308.90129007415,7.0,43180.592436499115,113489.49372657327
26,0x9db9e0e53058c89e5b94e29621a205198648425b,WBTC,USDT,60,34.27152897,1089913.996924,10204782.23542342516442155965159978,2.0,5.0,53.0,30.0,537909.2418612791,23.0,550949.3461601314,1088858.5880214106
27,0xcb0c5d9d92f4f2f80cce7aa271a1e148c226e19d,RAI,DAI,15,102804.195938482698623173,308358.779747290615179343,15226823.79250493425215573475325885,2.0,0.0,13.0,6.0,120762.01747649055,7.0,187598.49325773466,308360.5107342252
28,0xc2a856c3aff2110c1171b8f942256d40e980c726,FRAX,USDT,45,2332767.325234583414027779,2333540.751748,9588168.271186081468609564701507483,1.0,0.0,44.0,35.0,1727605.7002493874,9.0,605991.5794809643,2333597.2797303516
29,0x6c6bc977e13df9b0de53b251522280bb72383700,DAI,USDC,38,3038343.037925646422692597,3037311.032791,242376254.8431180343963157199999999,3.0,1.0,34.0,20.0,2842137.0587884053,14.0,195690.22982987599,3037827.2886182815
30,0x8f8ef111b67c04eb1641f5ff19ee54cda062f163,WBTC,PAX,46,43.6261076,1385631.49862854982152302,35408475.17125132529978576755892313,0.0,0.0,46.0,22.0,686427.2975207786,24.0,697488.6436764278,1383915.9411972063
31,0x16b70f44719b227278a2dc1122e8106cc929ecd1,WETH,LUNA,460,355.078860617455071332,5918076866.258668818535942775,1756382.873835347205687501619458694,15.0,19.0,426.0,217.0,343623.283923329,209.0,356233.4218588557,699856.7057821847
32,0x8c54aa2a32a779e6f6fbea568ad85a19e0109c26,FEI,USDC,14,373799.090041593804123811,373876.688867,4026569.278036426582766837000000001,0.0,0.0,14.0,10.0,316403.45319513796,4.0,57251.523507793725,373654.9767029317
33,0xd83d78108dd0d1dffff11ea3f99871671a52488b,PAX,WETH,53,1272056.377291284271587849,647.794998951375140625,19443876.56603330233892782784973066,0.0,0.0,53.0,20.0,534702.5253508514,33.0,738192.8441269685,1272895.36947782
