,id,token0,token1,dailyTxns,dailySwapVolumeToken0,dailySwapVolumeToken1,tvlUSD,mintsCount,burnsCount,swapsCount,token0To1Txs,token0To1VolumeUSD,token1To0Txs,token1To0VolumeUSD,GrossVolumeUSD
10,0x4b5ab61593a2401b1075b90c04cbcdd3f87ce011,WETH,LOOKS,1662,14291.92848711401443708,23890172.074438670423395375,27399091.91141471213992141848514735,16.0,12.0,1634.0,723.0,19242958.279617514,911.0,21014666.999905672,40257625.27952319
11,0xc2e9f25be6257c210d7adf0d4cd6e3e881ba25f8,DAI,WETH,57,1268621.605775929904628594,451.632656131844676875,83200627.97226072705651798872737444,2.0,5.0,50.0,20.0,397678.4407841772,30.0,870983.8793568312,1268662.3201410084
12,0x60594a405d53811d3bc4766596efd80fd545a270,DAI,WETH,383,7421370.577017974068692929,2650.216724747448680196,24657682.44126416439476670070000444,2.0,3.0,378.0,195.0,3572990.7767480835,183.0,3869915.925586634,7442906.702334717
13,0x7858e59e0c01ea06df3af3d20ac7b0003275d4bf,USDC,USDT,63,2612821.289979,2613547.597868,19484836.778849,0.0,0.0,63.0,28.0,1110107.2857591787,35.0,1503071.5452449997,2613178.831004178
14,0xc63b0708e2f7e69cb8a1df0e1389a98c35a76d52,FRAX,USDC,73,8947664.646372480134973794,8947054.472683,266320947.3040032263915520596762629,1.0,13.0,59.0,22.0,2560774.761195,37.0,6386279.711488,8947054.472683
15,0x3730ecd0aa7eb9b35a4e89b032bef80a1a41aa7f,WBTC,renBTC,39,715.00590255,714.74172068,10878567.77528333539862133448268201,0.0,1.0,38.0,19.0,15345406.717937497,19.0,12197290.5732375,27542697.291174997
16,0x9a834b70c07c81a9fcd6f22e842bf002fbffbe4d,FRAX,USDC,233,16168772.766904900072039733,16165364.491535,2160164.271277944819169170125496811,7.0,9.0,217.0,129.0,8251592.906071001,88.0,7913771.585464002,16165364.491535002
17,0x69d91b94f0aaf8e8a2586909fa77a5c2c89818d5,HEX,USDC,326,18830356.6526073,3337271.507806,19144863.11016532100731793021295063,1.0,1.0,324.0,105.0,1555182.1461060008,219.0,1782089.3617000005,3337271.507806001
18,0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,LINK,WETH,153,281975.348435780265466514,1113.840361686612107234,18972391.18690136098286140670751516,10.0,17.0,126.0,58.0,1433866.9196584844,68.0,1704918.2824451835,3138785.202103668
19,0x9e0905249ceefffb9605e034b534544684a58be6,HEX,WETH,810,35195599.5407337,2222.30378380367729526,12225743.07371353267539914238528882,3.0,2.0,805.0,187.0,2904670.7198811313,618.0,3360740.7990504703,6265411.518931601
20,0xe05e653453f733786f2dabae0ffa1e96cfcc4b25,HEX,USDC,102,13772868.35127694,2442574.075749,24574984.69413565148235328835135889,0.0,3.0,99.0,24.0,885298.1877440001,75.0,1557275.8880050003,2442574.0757490005
21,0x735a26a57a0a0069dfabd41595a970faf5e1ee8b,agEUR,USDC,30,1582586.202719472132370555,1665945.445012,23031401.20153669478842049707221021,0.0,0.0,30.0,15.0,744116.471017,15.0,921828.9739949999,1665945.445012
22,0xe8c6c9227491c0a8156a0106a0204d881bb7e531,MKR,WETH,44,472.79950707981115012,244.938039629379453753,12438570.1947341123951188026496147,0.0,0.0,44.0,28.0,447491.78734979976,16.0,245135.995481124,692627.7828309238
23,0x92560c178ce069cc014138ed3c2f5221ba71f58a,WETH,ENS,401,2722.078698867591528796,311166.679106192637553886,8011856.375980115169105450255711261,8.0,10.0,383.0,148.0,3389825.599003874,235.0,4303375.48647822,7693201.085482094
24,0x97e7d56a0408570ba1a7852de36350f7713906ec,DAI,FRAX,34,510376.830230102039211885,510456.777799535813169513,159681466.2151277001055395220384429,1.0,7.0,26.0,12.0,335238.8785782912,14.0,175122.6515914007,510361.5301696919
25,0x9db9e0e53058c89e5b94e29621a205198648425b,WBTC,USDT,30,22.63423911,862452.367096,15393818.86979471139546478363057123,0.0,0.0,30.0,17.0,634921.8933077599,13.0,227606.70711897212,862528.600426732
