,id,token0,token1,createdDate,feeTier,liquidity,volumeUSD,totalValueLockedToken0,totalValueLockedToken1,totalValueLockedUSD,txCount,mintsCount,burnsCount,swapsCount
21,0xe05e653453f733786f2dabae0ffa1e96cfcc4b25,HEX,USDC,2021-06-21 19:51:48,10000,25445530116421,404925033.351959,21226103.89974979,2289273.667504,3116878.168677305920555335780708501,19077,516.0,711.0,17850.0
22,0x735a26a57a0a0069dfabd41595a970faf5e1ee8b,agEUR,USDC,2022-04-19 14:15:02,100,111190679561432788937,317666916.51119,14305320.199800375950077566,491785.288423,14953147.85306619544614842846899665,9829,73.0,55.0,9701.0
23,0xe8c6c9227491c0a8156a0106a0204d881bb7e531,MKR,WETH,2021-05-05 01:52:22,3000,16590257193305735307503,832559623.5622798242382972682780251,9249.980774354446265706,1942.923219535403612922,11373260.29158239417546251875080622,33928,1138.0,1380.0,31410.0
24,0x92560c178ce069cc014138ed3c2f5221ba71f58a,WETH,ENS,2021-11-08 23:54:33,3000,45908813216086788376995,1953072291.481617681229027489930098,1321.972526079898835684,222168.231087283434041774,3906885.525215617544827906606733191,95618,2192.0,2815.0,90611.0
25,0x97e7d56a0408570ba1a7852de36350f7713906ec,DAI,FRAX,2021-05-28 17:27:05,500,5664169539251997679931291906,827746766.9654817150328734250828974,13351253.182490843673698704,15737606.929688699748027339,29081128.06720745593664184574190205,19412,599.0,2147.0,16666.0
26,0x9db9e0e53058c89e5b94e29621a205198648425b,WBTC,USDT,2021-05-05 20:21:53,3000,31472461470,817484494.3644077329734043691760185,123.71249908,1393734.309047,3990726.696381365834199405796657612,37279,642.0,912.0,35725.0
27,0xcb0c5d9d92f4f2f80cce7aa271a1e148c226e19d,RAI,DAI,2021-05-05 17:25:14,500,525931249945849288027417869,940775422.8889723737426161864343761,551188.754431163308204718,2725260.178096853991108416,4344002.225766266249070112587592005,18812,2150.0,2145.0,14517.0
28,0xc2a856c3aff2110c1171b8f942256d40e980c726,FRAX,USDT,2021-08-12 08:22:10,500,8246315460738130801205,748094377.0145833482114371806550884,3025102.124763622263225312,5408504.110253,8432097.615564230808766260907372011,15870,21.0,55.0,15794.0
29,0x6c6bc977e13df9b0de53b251522280bb72383700,DAI,USDC,2021-05-04 20:58:13,500,722155836763977457335601,5935410536.297790291604188420241369,516010417.811710604903656767,209979853.401208,725990271.2129186049036567670000001,98896,3128.0,3066.0,92702.0
30,0x8f8ef111b67c04eb1641f5ff19ee54cda062f163,WBTC,PAX,2021-06-11 13:32:53,3000,0,742198545.8229699438162543246178795,29.55393566,1106081.801127304861333382,1656931.776348336118871494797390228,14858,6.0,3.0,14849.0
31,0x16b70f44719b227278a2dc1122e8106cc929ecd1,WETH,LUNA,2021-07-09 20:59:39,10000,484881452240198702717437,473019860.2274906668785046570293161,809.339977390441653851,2760357289.586591665907420238,1383025.17435028572572803646189758,69185,1980.0,2421.0,64784.0
32,0x8c54aa2a32a779e6f6fbea568ad85a19e0109c26,FEI,USDC,2021-05-24 07:57:10,500,6493585084431871926,6205724053.728133703712123475236895,1573458.50557815793912995,1592495.453628,3165953.959206157939129950000000001,31044,630.0,679.0,29735.0
33,0xd83d78108dd0d1dffff11ea3f99871671a52488b,PAX,WETH,2021-07-12 23:36:02,3000,368418322488074195887324,624887087.6932179948493200247961125,6517150.19937827692492744,7135.200592703478938325,16194011.61389372543720237786526761,20088,9.0,7.0,20072.0
34,0xb07fe2f407f971125d4eb1977f8acee8846c7324,APE,USDC,2022-03-17 20:19:36,3000,65114231718292951,585945116.277645,82376.648688744954492923,914931.216194,1330620.052494440747720760791661399,34326,758.0,823.0,32745.0
35,0x8db1b906d47dfc1d84a87fc49bd0522e285b98b9,agEUR,WETH,2022-04-05 14:06:35,500,174756371877140504769647,177499704.9054389415225981966580017,974589.496918102286804466,3375.865912411093962984,5562721.03971686482704830433061796,10965,134.0,70.0,10761.0
36,0x9febc984504356225405e26833608b17719c82ae,1INCH,USDC,2021-05-05 22:36:54,10000,818777846654557977,336906324.4669700631501446943096225,2027010.837880720397723286,1761756.373407,3081767.577714807792134435764328075,12378,224.0,211.0,11943.0
