,day,symbol,deposit,borrow
2673,2021-11-12T00:00:00+00:00,WETH,6076583893.666233,161611792.06151587
2674,2021-11-11T00:00:00+00:00,WETH,5849032559.443723,160483884.22641245
2675,2021-11-10T00:00:00+00:00,WETH,5966529306.762008,161503883.34718293
2676,2021-11-09T00:00:00+00:00,WETH,6043800371.475932,162139598.48964867
2677,2021-11-08T00:00:00+00:00,WETH,5814692321.790021,144810880.60197166
2678,2021-11-07T00:00:00+00:00,WETH,5627272611.740163,142656414.01651096
2679,2021-11-06T00:00:00+00:00,WETH,5555457407.090245,141854776.73920637
2680,2021-11-05T00:00:00+00:00,WETH,5571813184.065161,143399458.74872273
2681,2021-11-04T00:00:00+00:00,WETH,5630113541.596694,192959811.24820182
2682,2021-11-03T00:00:00+00:00,WETH,5470472472.509074,143537630.79253784
2683,2021-11-02T00:00:00+00:00,WETH,5148398494.988495,138211414.1591758
2684,2021-11-01T00:00:00+00:00,WETH,4994622125.575153,137218344.7856149
2685,2021-10-31T00:00:00+00:00,WETH,5231707853.352502,159975893.48197702
2686,2021-10-30T00:00:00+00:00,WETH,5359100871.135486,159204539.1557675
2687,2021-10-29T00:00:00+00:00,WETH,6254490845.551073,157613865.11153346
2688,2021-10-28T00:00:00+00:00,WETH,8305240083.211254,143849333.5211963
2689,2021-10-27T00:00:00+00:00,WETH,9252176763.55621,138836912.3026908
2690,2021-10-26T00:00:00+00:00,WETH,9074493960.560888,134527028.1320477
2691,2021-10-25T00:00:00+00:00,WETH,8778502090.391737,139255251.99670246
2692,2021-10-24T00:00:00+00:00,WETH,8921374900.523252,140699311.90795413
2693,2021-10-23T00:00:00+00:00,WETH,8426235259.707653,134316745.11316139
2694,2021-10-22T00:00:00+00:00,WETH,8710769342.675701,138523904.6450336
2695,2021-10-21T00:00:00+00:00,WETH,8699458649.034172,137192111.33718708
2696,2021-10-20T00:00:00+00:00,WETH,8146824786.450069,128154981.14875954
2697,2021-10-19T00:00:00+00:00,WETH,7529590074.416399,124906901.96649821
2698,2021-10-18T00:00:00+00:00,WETH,7694026489.779671,124004017.73936093
2699,2021-10-17T00:00:00+00:00,WETH,7672521882.813024,120904551.30724087
2700,2021-10-16T00:00:00+00:00,WETH,7747519764.04936,123339712.10355268
2701,2021-10-15T00:00:00+00:00,WETH,7491173009.650348,120601653.23654674
2702,2021-10-14T00:00:00+00:00,WETH,6873929206.767065,116861876.19809933
2703,2021-10-13T00:00:00+00:00,WETH,6500163510.379133,110203920.67485006
2704,2021-10-12T00:00:00+00:00,WETH,6541542162.225271,111294936.50402991
2705,2021-10-11T00:00:00+00:00,WETH,6356790716.176435,109010804.50344133
2706,2021-10-10T00:00:00+00:00,WETH,6644804192.193682,112717279.2216672
2707,2021-10-09T00:00:00+00:00,WETH,6464429753.221385,108852385.28796554
2708,2021-10-08T00:00:00+00:00,WETH,6545436370.665339,150796840.06526732
2709,2021-10-07T00:00:00+00:00,WETH,6945419560.871183,151750607.23054558
2710,2021-10-06T00:00:00+00:00,WETH,7097646726.356367,148528008.42738876
2711,2021-10-05T00:00:00+00:00,WETH,6766770197.162752,143220043.3244735
2712,2021-10-04T00:00:00+00:00,WETH,6868236159.951201,145455269.33453256
2713,2021-10-03T00:00:00+00:00,WETH,6822771798.662151,143459196.09471923
2714,2021-10-02T00:00:00+00:00,WETH,6813875097.986359,231885895.58297986
2715,2021-10-01T00:00:00+00:00,WETH,6140733341.059445,207945051.12268084
2716,2021-09-30T00:00:00+00:00,WETH,5798008357.873008,185298894.00146607
2717,2021-09-29T00:00:00+00:00,WETH,5581419292.368071,113927706.01002337
2718,2021-09-28T00:00:00+00:00,WETH,5895047467.213675,119723075.22849864
2719,2021-09-27T00:00:00+00:00,WETH,6104899111.632866,123068548.59332405
2720,2021-09-26T00:00:00+00:00,WETH,5894797314.633261,119778346.52844602
2721,2021-09-25T00:00:00+00:00,WETH,5932958100.628338,120300262.11488341
2722,2021-09-24T00:00:00+00:00,WETH,6343490591.211537,127742847.82899182
2723,2021-09-23T00:00:00+00:00,WETH,6148512902.6642475,126258731.39755617
2724,2021-09-22T00:00:00+00:00,WETH,5421475853.935241,117446248.51083407
2725,2021-09-21T00:00:00+00:00,WETH,5804149959.007371,132590702.56497242
2726,2021-09-20T00:00:00+00:00,WETH,6420424898.0601635,143855574.33120978
