,token,total_tvl,eigenvector_centrality,weighted_degree,weighted_in_degree,weighted_out_degree
32,{'symbol': 'WILD'},3423731.5748007246,0.006273141849930826,75808.19250386213,39565.79725125387,36242.39525260826
33,{'symbol': 'DEFIT'},556127.9499140106,0.011554108528651972,128187.07325209444,72873.77304702056,55313.30020507389
34,{'symbol': 'FXS'},311816.0308152257,0.0026505367623617443,31302.816000484672,16717.396586170813,14585.41941431386
35,{'symbol': 'RBN'},1872663.9759763533,0.1694338740520879,2095670.721957607,1068648.9272219006,1027021.7947357064
36,{'symbol': 'KYL'},1645.8884264502065,0.0001277621427297006,1667.1013341567586,805.8180663780751,861.2832677786837
37,{'symbol': 'F9'},737503.8056494726,0.002141113176601302,21018.47984144947,13504.37338481813,7514.10645663134
38,{'symbol': 'WBTC'},20400340.29518188,0.0029890007399883587,50155.669033013364,18852.147789951738,31303.521243061627
39,{'symbol': '$AKC'},802926.2650722122,0.002107811160425696,36551.49897627971,13294.33177383863,23257.16720244108
40,{'symbol': 'DOP'},710632.6257118805,0.003196069313287976,38650.09746713226,20158.165314227583,18491.932152904683
41,{'symbol': 'CULT'},6162333.308648305,0.24607662036216382,2706422.346642429,1552048.0649788743,1154374.2816635547
42,{'symbol': 'USDT'},119279402.30014166,0.3394611228870283,4520778.312920731,2200396.683343493,2320381.629577238
43,{'symbol': 'FOX'},14137824.706501046,0.0041254828505672735,126619.20172946432,26020.13822322021,100599.0635062441
44,{'symbol': 'LOOKS'},376827.95225521934,0.04169706723606125,513293.98906486365,262990.6588597367,250303.33020512696
45,{'symbol': 'VEMP'},2920620.7469625333,0.007374312114554681,68034.66901079935,46511.06972738933,21523.59928341001
46,{'symbol': 'SUPER'},7940069.903928291,0.01853977126693401,166021.2727015032,116933.56352849216,49087.70917301105
47,{'symbol': 'WRLD'},44878.7295872206,0.0007362403082293429,9077.88618948503,4643.595738859827,4434.2904506252025
48,{'symbol': 'FLOKI'},2734158.4563664054,0.0051365076493736376,56309.20025985566,32396.847560026607,23912.352699829047
49,{'symbol': 'ARC'},908055.4951582424,0.0011909273629706898,29332.55815933443,7511.386114246841,21821.172045087587
