Date,herfindahl_volume,herfindahl_inflow_centrality,herfindahl_outflow_centrality,herfindahl_betweenness_centrality_count,herfindahl_betweenness_centrality_volume,herfindahl_tvl,total_volumes,S&P,S&P_volatility,Gas_fee,Gas_fee_volatility,boom,bust
2015-11-24,,,,,,,,,,5.2818907386700006e-08,0.10234145377620271,0,0
2015-11-25,,,,,,,,,,4.664274337116e-08,0.10018081996120558,0,0
2015-11-26,,,,,,,,,,4.7507993532560007e-08,0.09681743439835629,0,0
2015-11-27,,,,,,,,,,4.6507202973540004e-08,0.0912615062842466,0,0
2015-11-28,,,,,,,,,,4.942454150543e-08,0.09023543932874772,0,0
2015-11-29,,,,,,,,,,4.638943305453e-08,0.08987346705911883,0,0
2015-11-30,,,,,,,,,,4.8575335137120004e-08,0.08545241506214021,0,0
2015-12-01,,,,,,,,,,4.770901426497e-08,0.08305640760506289,0,0
2015-12-02,,,,,,,,,,4.447874145292e-08,0.08364126570223708,0,0
2015-12-03,,,,,,,,,,4.39231852861e-08,0.08360337457348892,0,0
2015-12-04,,,,,,,,,,4.52929810998e-08,0.08062415691079539,0,0
2015-12-05,,,,,,,,,,4.626572892965001e-08,0.08042630762049759,0,0
2015-12-06,,,,,,,,,,4.528004238492e-08,0.08043567503992011,0,0
2015-12-07,,,,,,,,,,4.3191108747200004e-08,0.08085954133874533,0,0
2015-12-08,,,,,,,,,,4.460719833848e-08,0.07819332482389801,0,0
2015-12-09,,,,,,,,,,4.323979342986e-08,0.07821273506028051,0,0
2015-12-10,,,,,,,,,,4.614813008232e-08,0.07806473894349529,0,0
2015-12-11,,,,,,,,,,5.295817631559002e-08,0.07617927548090395,0,0
2015-12-12,,,,,,,,,,5.770185590054e-08,0.06320955397666672,0,0
2015-12-13,,,,,,,,,,5.443358316096e-08,0.05873518879970405,0,0
2015-12-14,,,,,,,,,,5.283887438313e-08,0.05905607785053116,0,0
2015-12-15,,,,,,,,,,6.327683386358002e-08,0.06717133583776759,0,0
2015-12-16,,,,,,,,,,5.348600871669e-08,0.07014264858397831,0,0
2015-12-17,,,,,,,,,,5.177640439098e-08,0.06963477611932258,0,0
2015-12-18,,,,,,,,,,5.0081530808400007e-08,0.06902187873299304,0,0
2015-12-19,,,,,,,,,,4.85025424929e-08,0.0690511155354523,0,0
2015-12-20,,,,,,,,,,4.800840959430001e-08,0.06901589190726555,0,0
2015-12-21,,,,,,,,,,4.7584896840250006e-08,0.06866013796639865,0,0
2015-12-22,,,,,,,,,,4.665559534830001e-08,0.06869387750357073,0,0
2015-12-23,,,,,,,,,,4.7314191353050003e-08,0.06870641867625965,0,0
2015-12-24,,,,,,,,,,4.4873468379e-08,0.06924441209944426,0,0
2015-12-25,,,,,,,,,,4.6589189674230006e-08,0.06588370241656653,0,0
2015-12-26,,,,,,,,,,4.5624562061950004e-08,0.06589558104698291,0,0
2015-12-27,,,,,,,,,,5.6819314778e-08,0.0770889532073972,0,0
2015-12-28,,,,,,,,,,4.461082962924e-08,0.08869540486337187,0,0
2015-12-29,,,,,,,,,,4.674423164691e-08,0.08840604187729001,0,0
2015-12-30,,,,,,,,,,5.104510602480001e-08,0.08948134318644857,0,0
2015-12-31,,,,,,,,,,5.3624892825330015e-08,0.08981474178112468,0,0
2016-01-01,,,,,,,,,,5.091523581549001e-08,0.08935667131033656,0,0
2016-01-02,,,,,,,,,,4.9590811455540016e-08,0.0894828839443012,0,0
2016-01-03,,,,,,,,,,5.1742071159940004e-08,0.08962929947242632,0,0
2016-01-04,,,,,,,,,,5.133616346760001e-08,0.08959864860284862,0,0
2016-01-05,,,,,,,,,,5.4224600183550004e-08,0.08994625007483663,0,0
2016-01-06,,,,,,,,,,5.157550696128e-08,0.09000603695007749,0,0
2016-01-07,,,,,,,,,,5.060986070195e-08,0.08997429779805505,0,0
2016-01-08,,,,,,,,,,5.326251236955e-08,0.09011275897590168,0,0
2016-01-09,,,,,,,,,,5.2744248216e-08,0.08948144117336723,0,0
2016-01-10,,,,,,,,,,5.2573684396860006e-08,0.08587443959773411,0,0
2016-01-11,,,,,,,,,,5.663734520745e-08,0.08550705145471992,0,0
2016-01-12,,,,,,,,,,6.706731966696001e-08,0.09016506822711273,0,0
2016-01-13,,,,,,,,,,6.582939115584e-08,0.09003195078707914,0,0
2016-01-14,,,,,,,,,,6.409041330916e-08,0.08405473193899529,0,0
2016-01-15,,,,,,,,,,7.022631154046e-08,0.07933480781455919,0,0
