,token,total_tvl,stable,eigenvector_centrality,betweenness_centrality,degree,in_degree,out_degree,weighted_degree,weighted_in_degree,weighted_out_degree
15,CULT,5737655.343857239,0.0,0.039948733115946676,0.0,2,1,1,1205565.5789643573,485489.00113779714,720076.5778265602
16,CAW,10091300.984330049,0.0,0.01737646115397874,0.0,2,1,1,400248.7285983423,185047.95166607684,215200.77693226543
17,SUPER,7114367.461527681,0.0,0.018099376201185922,0.0,2,1,1,416605.4161369422,219958.11600902493,196647.3001279173
18,SAITAMA,6453010.114669786,0.0,0.011235007858647504,0.0,2,1,1,323039.9922860955,136536.81400206333,186503.1782840322
19,RLY,4455521.429623485,0.0,0.010248042995155152,0.0,2,1,1,233321.358802885,124542.42648683718,108778.9323160478
20,REQ,1459437.772806547,0.0,0.02809111511380515,0.0,2,1,1,671386.3281938675,341385.73000214074,330000.5981917267
21,SAND,3281930.407655305,0.0,0.00615445244732228,0.0,2,1,1,158850.45486200257,74793.83545226498,84056.6194097376
22,BOND,9719224.370539198,0.0,0.39137548873252875,0.0,2,1,1,7852134.0179343,4167893.098629072,3684240.919305228
23,HEX,1775045.759382926,0.0,0.018020476862816732,0.0,4,2,2,441661.85266160435,206316.42544841472,235345.42721318963
24,XMON,12058922.708750725,0.0,0.047097911933953365,0.0,2,1,1,1433294.186913792,572371.5481571442,860922.6387566477
25,UNI,24604814.974272944,0.0,0.07593135049097005,0.0,2,1,1,2052411.997601591,922778.58719354,1129633.410408051
26,RAD,4560510.191635148,0.0,0.10163801041390541,0.0,2,1,1,2080270.007270932,1082378.366449032,997891.6408219
27,PAXG,21089820.884295102,0.0,0.03384926184124693,0.0,2,1,1,804942.8491987386,411363.3409315516,393579.508267187
28,X2Y2,5368332.743734137,0.0,0.026856540968395206,0.0,2,1,1,672170.1966903773,326382.19617427187,345788.0005161055
29,MC,26902024.4691668,0.0,0.019182192468226614,0.0,2,1,1,371971.9449888808,233117.366550852,138854.5784380288
30,ELON,12945838.747249415,0.0,0.01067789100329935,0.0,2,1,1,256525.49957265466,129766.28376184346,126759.2158108112
31,WETH,381102619.5833704,0.0,0.580343147167793,0.9597594819611471,82,41,41,31170708.854412854,15837220.182585625,15333488.67182723
32,WOO,4153212.280773951,0.0,0.03479030260416845,0.0,2,1,1,858262.2393954934,422799.62199445086,435462.6174010425
33,SHIB,1668525.009707254,0.0,0.02082012458346517,0.0,2,1,1,508902.80508019205,253022.82949133447,255879.9755888576
34,ERN,3658827.1212837794,0.0,0.013565808473527119,0.0,2,1,1,297531.5346968665,164862.56989236947,132668.96480449705
35,HIGH,5007058.380306699,0.0,0.02581602484199312,0.0,2,1,1,612724.6410518659,313737.0108211201,298987.63023074577
36,MPL,1648658.4154626464,0.0,0.004784096907091331,0.0,2,1,1,107750.81316051577,50947.50452260854,56803.308637907234
37,UFO,5974592.413827228,0.0,0.019743847920040386,0.0,2,1,1,460385.28877144185,239943.0534504408,220442.23532100103
38,DEXT,2364394.8499470586,0.0,0.00012112236584251596,0.0,2,1,1,15356.529006811264,1471.9760007818018,13884.553006029462
39,SNX,1876694.7402648013,,0.011016498212396036,0.0,2,1,1,271133.7335985107,133881.3097689329,137252.42382957778
40,MUSE,1328323.5526376755,,0.00011031833120371927,0.0,2,1,1,19829.441284562872,1340.676718528892,18488.76456603398
41,VOW,542401.8445746314,,0.0027780376765549576,0.0,2,1,1,64584.72117580479,33760.93887131151,30823.78230449328
42,ALPHA,3678273.101668757,,0.00045573159979929505,0.0,2,1,1,22406.410288967032,5538.415411855849,16867.994877111185
43,PNT,804195.3095330574,,0.0018103552296519032,0.0,2,1,1,40610.50481450029,22000.8867264289,18609.618088071387
44,USDI,4952871.81045516,,0.005222663925598651,0.0,2,1,1,119652.99773470967,63469.99503483977,56183.00269986991
45,TSUKA,893655.9490559499,,0.03830311457770596,0.0,2,1,1,760912.2270712312,407903.1301153395,353009.0969558918
46,$JOY,369121.1521389812,,0.02404558197630052,0.0,2,1,1,525507.0018914298,292221.1711087081,233285.8307827217
47,MSI,864420.3361178429,,0.0057865833237753855,0.0,2,1,1,198014.40009978606,70323.19522390368,127691.20487588237
