,pairAddress,token0,token1,dailyVolumeUSD,dailyTxns,dailySwapVolumeToken0,dailySwapVolumeToken1,reserveUSD,mintsCount,burnsCount,swapsCount,token0To1Txs,token0To1VolumeUSD,token1To0Txs,token1To0VolumeUSD,GrossVolumeUSD
10,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,{'symbol': 'USDC'},{'symbol': 'USDT'},472792.3120585916,262,631526.714892,632166.642604,18259249.14884056925571666596605943,0.0,1.0,261.0,120.0,321559.1099419684,141.0,310249.6091176851,631808.7190596536
11,0x9c4fe5ffd9a9fc5678cfbd93aa2d4fd684b67c4c,{'symbol': 'PAXG'},{'symbol': 'WETH'},826884.0032818473,76,555.686846687996904276,541.696765259946019339,23230924.50763699876762821545916841,0.0,0.0,76.0,52.0,761913.8977374833,24.0,270768.18945992284,1032682.0871974061
12,0xec54859519293b8784bc5bf28144166f313618af,{'symbol': 'DAI'},{'symbol': 'O'},882879.8896446851,770,4186108.460062649073628481,274424992825.977605828160378192,2889396.921730852003943590923235738,0.0,0.0,770.0,499.0,2388721.657535072,271.0,1801619.079754067,4190340.737289139
13,0x8ef79d6c328c25da633559c20c75f638a4863462,{'symbol': 'QOM'},{'symbol': 'WETH'},1114783.1698691847,526,87571074737317.602197957198753272,2574.21502347494655853,3848851.050614671318233799529608605,0.0,0.0,526.0,230.0,2266562.620776156,296.0,2649713.788080023,4916276.40885618
14,0xa5e9c917b4b821e4e0a5bbefce078ab6540d6b5e,{'symbol': 'STARL'},{'symbol': 'WETH'},584836.6511413673,100,91966046103.510418563026651077,223.83499924796867546,5059519.969020733115977736074312731,0.0,0.0,100.0,37.0,216507.16096539548,63.0,212222.29666476036,428729.45763015584
15,0xdc00ba87cc2d99468f7f34bc04cbf72e111a32f7,{'symbol': 'WETH'},{'symbol': 'LOOKS'},977645.7860566797,160,67.223110322810382268,235742.128332434705525119,425250.0345508747531905708050142689,0.0,1.0,159.0,56.0,68452.63983661754,103.0,58332.702819623824,126785.34265624137
16,0x811beed0119b4afce20d2583eb608c6f7af1954f,{'symbol': 'SHIB'},{'symbol': 'WETH'},598766.959574306,388,209771482310.703398933257585732,2669.966224704035132177,1963700.681789595301148951011728423,0.0,0.0,388.0,207.0,2574301.846935462,181.0,2560828.292394227,5135130.139329689
17,0x453a43e2bf3080f7a23c9bb034ccdd869e306102,{'symbol': 'WETH'},{'symbol': 'STRNGR'},191076.33152498445,308,82.302746659564114786,12895.914677654058050219,1252622.472126252173576543726532087,0.0,1.0,307.0,64.0,70514.81360242692,243.0,86165.31694921247,156680.1305516394
18,0xc2adda861f89bbb333c90c492cb837741916a225,{'symbol': 'MKR'},{'symbol': 'WETH'},150723.82396461995,50,156.367677731699578405,106.662561208024651457,4669717.767354669498575280994020196,0.0,0.0,50.0,24.0,77578.4035574065,26.0,126250.37295853303,203828.77651593953
19,0xdd39323c337c33d0285c1d4228a1a46a8502c79f,{'symbol': 'HATI'},{'symbol': 'USDC'},520206.654283298,423,195635668021285.614953902914231792,810529.046511,899248.9021427683323879666353123796,0.0,0.0,423.0,161.0,386460.2558254406,262.0,424227.96302493033,810688.218850371
20,0x25647e01bd0967c1b9599fa3521939871d1d0888,{'symbol': 'WETH'},{'symbol': 'SUPER'},1598260.6356203891,110,350.906513607856392321,3154783.577602913071297594,8199477.038326175024328427420903155,5.0,2.0,103.0,46.0,282163.14498390036,57.0,385150.9001563316,667314.045140232
21,0x4bacaaabe3e96959ddf3269d3092d5cea88fefe9,{'symbol': 'XMON'},{'symbol': 'WETH'},121332.80824202357,69,87.131515815993135692,440.823725966455891267,3809336.784833570320830701180178611,0.0,0.0,69.0,26.0,371526.7902086184,43.0,477217.2926920109,848744.0829006293
22,0x4028daac072e492d34a3afdbef0ba7e35d8b55c4,{'symbol': 'stETH'},{'symbol': 'WETH'},297657.6093220173,89,164.990521131127964456,160.287428844609310868,3765146.417424924885123296849038246,0.0,1.0,88.0,47.0,150376.19290318582,41.0,154583.40011482403,304959.59301800985
23,0x3dd49f67e9d5bc4c5e6634b3f70bfd9dc1b6bd74,{'symbol': 'SAND'},{'symbol': 'WETH'},513803.5491818491,133,381196.427476594455531512,286.094329177723546662,4101288.674086372868360800137348765,0.0,1.0,132.0,62.0,275560.7166878888,70.0,270984.21168871113,546544.9283765999
24,0xf7ef5352de45a20d8c8565cd94a4bd6c8831f749,{'symbol': 'LINU'},{'symbol': 'WETH'},0.0,368,463316714475367.563043628787526191,253.835268224982117545,215158.8291960334435749503555500828,0.0,0.0,368.0,171.0,231115.5379124811,197.0,249924.53870242578,481040.0766149069
25,0x3da1313ae46132a397d90d95b1424a9a7e3e0fce,{'symbol': 'WETH'},{'symbol': 'CRV'},126163.836908027,52,39.131635867833797051,56281.909197100721483667,1203269.074240654539226704009852089,0.0,0.0,52.0,22.0,38454.74852098743,30.0,36142.49746162588,74597.2459826133
26,0x11181bd3baf5ce2a478e98361985d42625de35d1,{'symbol': 'ASTO'},{'symbol': 'USDC'},111408.06090182302,35,718641.001639301569890483,172200.750913,15803600.95444092989565319169503498,0.0,0.0,35.0,27.0,102167.19762981527,8.0,70021.83352954414,172189.0311593594
27,0x6591c4bcd6d7a1eb4e537da8b78676c1576ba244,{'symbol': 'BOND'},{'symbol': 'USDC'},256958.00259328875,55,76724.249989792301763768,280726.05348,6658653.880561411770275153951510244,0.0,3.0,52.0,22.0,110945.51213756159,30.0,169827.75649561436,280773.26863317593
28,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,{'symbol': 'WBTC'},{'symbol': 'WETH'},189389.2121610308,98,26.17156143,418.143079226419309182,21217334.71446861271123431642062552,0.0,2.0,96.0,54.0,451030.54547393037,42.0,355280.3081248539,806310.8535987842
29,0xdb44a4a457c87225b5ba45f27b7828a4cc03c112,{'symbol': 'RBN'},{'symbol': 'WETH'},418361.139523608,119,1582048.407856045413469215,262.994705886262497847,1508489.118169822034112264460836402,0.0,0.0,119.0,43.0,254286.45257324382,76.0,251359.1387553101,505645.5913285539
30,0xae461ca67b15dc8dc81ce7615e0320da1a9ab8d5,{'symbol': 'DAI'},{'symbol': 'USDC'},354850.69825424586,241,1606408.608580217664222271,1607643.73788,97130079.92406623679008236127012875,0.0,1.0,240.0,116.0,786102.8258540056,124.0,821288.8458719513,1607391.671725957
31,0x8c1c499b1796d7f3c2521ac37186b52de024e58c,{'symbol': 'RAD'},{'symbol': 'USDC'},195583.917818046,80,114193.463704094079302026,263403.207621,4176353.479835774755319427056842149,0.0,0.0,80.0,24.0,98620.65414367827,56.0,164768.77405358895,263389.42819726723
