,id,token0,token1,createdDate,feeTier,liquidity,volumeUSD,totalValueLockedToken0,totalValueLockedToken1,totalValueLockedUSD,txCount,mintsCount,burnsCount,swapsCount
29,0x6c6bc977e13df9b0de53b251522280bb72383700,DAI,USDC,2021-05-04 20:58:13,500,471066352161889488907908,5829098978.348882551699693397260877,333524246.090553830869148542,141293800.132307,474818046.222860830869148542,98210,2976.0,2995.0,92239.0
30,0x8f8ef111b67c04eb1641f5ff19ee54cda062f163,WBTC,PAX,2021-06-11 13:32:53,3000,0,742198545.8229699438162543246178795,29.55393566,1106081.801127304861333382,1656931.776348336118871494797390228,14858,6.0,3.0,14849.0
31,0x16b70f44719b227278a2dc1122e8106cc929ecd1,WETH,LUNA,2021-07-09 20:59:39,10000,423253381407156413844711,467507335.7027226286436167466477751,786.274293136755560083,2719846532.06135375315675057,1121492.1596637222375440693482558,63653,1812.0,2094.0,59747.0
32,0x8c54aa2a32a779e6f6fbea568ad85a19e0109c26,FEI,USDC,2021-05-24 07:57:10,500,7075025435796916488,6203951409.826830161478139038663858,1577002.518066471070998274,1592704.044094,3169706.562160471070998273999999999,30806,630.0,677.0,29499.0
33,0xd83d78108dd0d1dffff11ea3f99871671a52488b,PAX,WETH,2021-07-12 23:36:02,3000,368418322488074195887324,590081216.7885376541722288912863836,5823148.211039961562061966,7586.604485988705222643,15157198.26627896741602654392293528,17376,8.0,6.0,17362.0
34,0xb07fe2f407f971125d4eb1977f8acee8846c7324,APE,USDC,2022-03-17 20:19:36,3000,74555169736556957,585315759.053064,87756.495951335658943114,923603.014931,1378939.706438931864652790757919221,33535,752.0,805.0,31978.0
35,0x8db1b906d47dfc1d84a87fc49bd0522e285b98b9,agEUR,WETH,2022-04-05 14:06:35,500,229755308073193959425573,150023562.5565883806686335332054227,680741.35901063613224918,4879.700623913441888805,6716883.000448310394886526013665095,7969,96.0,46.0,7827.0
36,0x9febc984504356225405e26833608b17719c82ae,1INCH,USDC,2021-05-05 22:36:54,10000,818777846231707475,335672810.8474640613294637031644396,1942053.459363235312053298,1808898.98787,3284925.673101561734855260068531816,11851,222.0,209.0,11420.0
37,0x00cef0386ed94d738c8f8a74e8bfd0376926d24c,BUSD,USDC,2021-05-24 20:20:53,500,9727571855608066410706,331377316.7644747145920522387135823,23373320.496506290726728534,587352.626235,23949114.66218503860748875277816105,10222,124.0,133.0,9965.0
38,0x4c54ff7f1c424ff5487a32aad0b48b19cbaf087f,NEXO,WETH,2021-05-05 23:21:41,3000,202243946990002683255726,686487397.4689930295662738101135638,2864412.535079360413090229,496.08932311118112103,2595494.101869212480577201960216363,41794,377.0,435.0,40982.0
39,0xa21ed0af81d7cdaebd06d1150c166821cfcd64ff,1INCH,USDT,2021-08-31 19:35:54,10000,80601447573314544,93292151.46895673555653228566271465,730653.454331885421620439,421896.235695,977217.7130986612861349181053852562,2084,31.0,24.0,2029.0
40,0x290a6a7460b308ee3f19023d2d00de604bcf5b42,MATIC,WETH,2021-05-05 21:30:35,3000,469855593860620128067189,2772698692.84869644804457901493263,8667855.170464103405826069,2802.509940626549897229,8666641.638520686482115779039652499,110319,3609.0,5030.0,101680.0
41,0xbd5fdda17bc27bb90e37df7a838b1bfc0dc997f5,USDC,EURS,2021-05-05 20:19:22,500,746097935630,1011995742.288759143340542519020196,556804.659564,7202543.74,8101012.196459364804778052063890336,9593,110.0,128.0,9355.0
42,0x39529e96c28807655b5856b3d342c6225111770e,TUSD,USDC,2022-02-14 09:56:07,100,10084470322939707632167,189759776.3143137141259469516880955,4187126.046015669970124441,5920992.435214,10108118.481229669970124441,1668,6.0,1.0,1661.0
43,0x151ccb92bc1ed5c6d0f9adb5cec4763ceb66ac7f,ETH2x-FLI,WETH,2021-05-05 06:41:52,3000,6311684394022618787783,2654055003.688233285233438472854554,250650.986287596300076827,1445.10919202801511846,3886267.907910052015541849045983701,64236,3337.0,3659.0,57240.0
44,0x298b7c5e0770d151e4c5cf6cca4dae3a3ffc8e27,MIM,USDC,2021-06-15 09:14:42,500,0,1176398318.794334,460999.603036293078429046,291354.128049,291354.128049,14880,280.0,294.0,14306.0
45,0xef9a9283440b2d7efb9c7dcc17e94e234d5ccccd,sILV2,WETH,2022-03-04 11:56:34,10000,4665764923150281822626,120946883.6409669761026164459092641,9439.881985468999845203,332.771338506136194642,883098.2234323101586016370981563633,21448,369.0,401.0,20678.0
46,0x4c83a7f819a5c37d64b4c5a2f8238ea082fa1f4e,WETH,CRV,2021-05-05 22:00:30,10000,112890509785141138987136,673315621.7797526837434555521091333,1416.553284170119454559,2534136.680213409563214256,3813082.753364655291136866389578,26412,1679.0,2714.0,22019.0
47,0xb65fc555b0e970b16329a48e45cfa14fce9a36a4,DAI,PAX,2021-11-13 07:18:43,100,2804670110910221246447266,236638225.0355142880427271248177703,11863.824040757998558678,12278.451164355026496876,24140.65534675809403914584772828722,1959,4.0,5.0,1950.0
48,0x4e0924d3a751be199c426d52fb1f2337fa96f736,LUSD,USDC,2021-05-09 11:29:59,500,14216149173974875103,530325880.9255367732070729308781638,133226.443905903904351131,15570606.832632,15705220.11486295823362970668299855,9141,177.0,199.0,8765.0
49,0x29f0096512b4af1d689c1a11a867a6e707a8dcde,FUN,WETH,2022-05-05 12:20:50,100,26790765246562297171,93602943.89473069739618525248799715,155587092.56648578,1915.727267064110649732,3575389.607158656750399557907641282,7460,6.0,4.0,7450.0
