node,date,betweenness_centrality_count,betweenness_centrality_volume
LRC,2020/6/22,0,0
LEND,2020/6/22,0,0
DMG,2020/6/22,0,0
sXAU,2020/6/22,0,0
WETH,2020/6/23,0.113248967,0.13344188
USDC,2020/6/23,0.017820248,0.014878997
RPL,2020/6/23,0,0
AMPL,2020/6/23,0,0
ANT,2020/6/23,0,0
REP,2020/6/23,0,0
KNC,2020/6/23,0,0
LRC,2020/6/23,0,0
UMA,2020/6/23,0,0
HXY,2020/6/23,0,0
LEND,2020/6/23,0,0
sXAU,2020/6/23,0,0
MKR,2020/6/23,0,0
COMP,2020/6/23,0,0
DAI,2020/6/23,0,0
REN,2020/6/23,0,0
LINK,2020/6/23,0,0
UBT,2020/6/23,0,0
WBTC,2020/6/23,0,0
USDT,2020/6/23,0,0
BAT,2020/6/23,0,0
DMG,2020/6/23,0,0
DZAR,2020/6/23,0,0
WETH,2020/6/24,0.098321581,0.111316579
USDC,2020/6/24,0.019366372,0.018472204
WBTC,2020/6/24,0,0
UMA,2020/6/24,0,0
DZAR,2020/6/24,0,0
UBT,2020/6/24,0,0
REP,2020/6/24,0,0
LINK,2020/6/24,0,0
ANT,2020/6/24,0,0
HXY,2020/6/24,0,0
KNC,2020/6/24,0,0
LEND,2020/6/24,0,0
USDT,2020/6/24,0,0
RPL,2020/6/24,0,0
MKR,2020/6/24,0,0
BAT,2020/6/24,0,0
LRC,2020/6/24,0,0
DAI,2020/6/24,0,0
COMP,2020/6/24,0,0
REN,2020/6/24,0,0
DMG,2020/6/24,0,0
AMPL,2020/6/24,0,0
sXAU,2020/6/24,0,0
WETH,2020/6/25,0.103279556,0.113132688
USDC,2020/6/25,0.02710923,0.039068058
USDT,2020/6/25,0,0
ANT,2020/6/25,0,0
RPL,2020/6/25,0,0
LRC,2020/6/25,0,0
UMA,2020/6/25,0,0
HXY,2020/6/25,0,0
REP,2020/6/25,0,0
LEND,2020/6/25,0,0
LINK,2020/6/25,0,0
MKR,2020/6/25,0,0
WBTC,2020/6/25,0,0
DMG,2020/6/25,0,0
KNC,2020/6/25,0,0
AMPL,2020/6/25,0,0
DAI,2020/6/25,0,0
BAT,2020/6/25,0,0
DZAR,2020/6/25,0,0
UBT,2020/6/25,0,0
REN,2020/6/25,0,0
COMP,2020/6/25,0,0
sXAU,2020/6/25,0,0
WETH,2020/6/26,0.094964664,0.102059541
USDC,2020/6/26,0.029888104,0.042770408
REN,2020/6/26,0,0
DZAR,2020/6/26,0,0
REP,2020/6/26,0,0
LRC,2020/6/26,0,0
UMA,2020/6/26,0,0
ANT,2020/6/26,0,0
KNC,2020/6/26,0,0
UBT,2020/6/26,0,0
WBTC,2020/6/26,0,0
MKR,2020/6/26,0,0
USDT,2020/6/26,0,0
HXY,2020/6/26,0,0
LINK,2020/6/26,0,0
AMPL,2020/6/26,0,0
LEND,2020/6/26,0,0
RPL,2020/6/26,0,0
BAT,2020/6/26,0,0
DMG,2020/6/26,0,0
DAI,2020/6/26,0,0
COMP,2020/6/26,0,0
sXAU,2020/6/26,0,0
WETH,2020/6/27,0.115705991,0.109998347
USDC,2020/6/27,0.018835859,0.012255218
DZAR,2020/6/27,0.000283246,5.24E-05
LINK,2020/6/27,0,0
sXAU,2020/6/27,0,0
MKR,2020/6/27,0,0
LRC,2020/6/27,0,0
ANT,2020/6/27,0,0
RPL,2020/6/27,0,0
UMA,2020/6/27,0,0
KNC,2020/6/27,0,0
UBT,2020/6/27,0,0
BAT,2020/6/27,0,0
LEND,2020/6/27,0,0
REN,2020/6/27,0,0
HXY,2020/6/27,0,0
USDT,2020/6/27,0,0
WBTC,2020/6/27,0,0
COMP,2020/6/27,0,0
DAI,2020/6/27,0,0
AMPL,2020/6/27,0,0
DMG,2020/6/27,0,0
REP,2020/6/27,0,0
WETH,2020/6/28,0.123577874,0.137326218
USDC,2020/6/28,0.020400157,0.009343081
DZAR,2020/6/28,0.001176932,0.000612995
DMG,2020/6/28,0,0
COMP,2020/6/28,0,0
sXAU,2020/6/28,0,0
RPL,2020/6/28,0,0
WBTC,2020/6/28,0,0
REP,2020/6/28,0,0
ANT,2020/6/28,0,0
LRC,2020/6/28,0,0
UBT,2020/6/28,0,0
HXY,2020/6/28,0,0
REN,2020/6/28,0,0
KNC,2020/6/28,0,0
LINK,2020/6/28,0,0
BAT,2020/6/28,0,0
AMPL,2020/6/28,0,0
USDT,2020/6/28,0,0
LEND,2020/6/28,0,0
DAI,2020/6/28,0,0
UMA,2020/6/28,0,0
MKR,2020/6/28,0,0
WETH,2020/6/29,0.117880566,0.144503831
USDC,2020/6/29,0.014842941,0.013445326
DZAR,2020/6/29,0.000172592,7.16E-05
KNC,2020/6/29,0,0
REP,2020/6/29,0,0
ANT,2020/6/29,0,0
MKR,2020/6/29,0,0
WBTC,2020/6/29,0,0
LEND,2020/6/29,0,0
UMA,2020/6/29,0,0
REN,2020/6/29,0,0
RPL,2020/6/29,0,0
UBT,2020/6/29,0,0
BAT,2020/6/29,0,0
USDT,2020/6/29,0,0
COMP,2020/6/29,0,0
